StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Intentions_1,Intentions_2,Intentions_3,Intentions_4,Intentions_5,Intentions_6,Intentions_7,Intentions_DO,Beliefs_1,Beliefs_2,Beliefs_3,Beliefs_4,Beliefs_5,Beliefs_6,Beliefs_7,Beliefs_8,Beliefs_DO,Control Items_1,Control Items_2,Control Items_3,Control Items_DO,Q19_1,Q19_2,Q19_3,Q19_DO,Q21,Q21_6_TEXT,Q22,Attention Check,Attention Check_DO,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions,Introduction_DO,Vignettes_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_DuplicateRespondent,How likely are you to.. - Sign an online petition you agree with in the next month,How likely are you to.. - Sign an online petition you agree with if reading it takes less than thirty seconds.,How likely are you to.. - Sign an online petition you agree with if you must click a confirmation link sent to your email.,How likely are you to.. - Donate a few dollars to a cause you support in the next 7 days.,How likely are you to.. - Donate a few dollars to a cause you support if payment is possible through a phone app.,How likely are you to.. - Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.,How likely are you to.. - Look for small opportunities to help others this week.,How likely are you to.. - Display Order,To what extent do you agree... - One signature contributes meaningfully to petition goals.,To what extent do you agree... - Signing an online petition is easy to do.,To what extent do you agree... - Petitions can help issues gain attention.,To what extent do you agree... - Even a $1 donation contributes meaningfully to organization goals.,To what extent do you agree... - Donating a few dollars is easy to do.,To what extent do you agree... - Small donations can help fund change.,"To what extent do you agree... - Meaningful change happens only through large, high-impact efforts.","To what extent do you agree... - Small, everyday actions have a meaningful impact.",To what extent do you agree... - Display Order,"Answer the following: - In the past 30 days, how many online petitions did you sign?","Answer the following: - In the past 30 days, how many times did you donate $1 to $5 to a cause you support?","Answer the following: - In the past 30 days, how many times did you donate more than $5 to a cause you support?",Answer the following: - Display Order,To what extent do you agree... - I pay close attention to public issues on campus or in the news.,To what extent do you agree... - I am very civically engaged with my community.,To what extent do you agree... - I identify as an activist.,To what extent do you agree... - Display Order,What is your class year? - Selected Choice,What is your class year? - Other - Text,What is your gender?,What was the introductory passage about?,What was the introductory passage about? - Display Order,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions,Introduction - Display Order,Vignettes - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID11_17""}","{""ImportId"":""QID11_18""}","{""ImportId"":""QID11_19""}","{""ImportId"":""QID11_DO""}","{""ImportId"":""QID15_19""}","{""ImportId"":""QID15_20""}","{""ImportId"":""QID15_21""}","{""ImportId"":""QID15_22""}","{""ImportId"":""QID15_23""}","{""ImportId"":""QID15_24""}","{""ImportId"":""QID15_25""}","{""ImportId"":""QID15_26""}","{""ImportId"":""QID15_DO""}","{""ImportId"":""QID20_30""}","{""ImportId"":""QID20_31""}","{""ImportId"":""QID20_32""}","{""ImportId"":""QID20_DO""}","{""ImportId"":""QID19_35""}","{""ImportId"":""QID19_36""}","{""ImportId"":""QID19_37""}","{""ImportId"":""QID19_DO""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_6_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_DO""}","{""ImportId"":""Q_StraightliningCount""}","{""ImportId"":""Q_StraightliningPercentage""}","{""ImportId"":""Q_StraightliningQuestions""}","{""ImportId"":""Q_UnansweredPercentage""}","{""ImportId"":""Q_UnansweredQuestions""}","{""ImportId"":""BL_7O692MW3fYwtbYa_DO""}","{""ImportId"":""BL_4NFnkEOPhNL5t30_DO""}"
2025-11-17 09:38:20,2025-11-17 09:41:44,IP Address,100,204,TRUE,2025-11-17 09:41:45,R_1m6E0wP35TKN6hz,anonymous,EN,,3,2,2,2,4,2,3,Sign an online petition you agree with in the next month|Sign an online petition you agree with if reading it takes less than thirty seconds.|Sign an online petition you agree with if you must click a confirmation link sent to your email.|Donate a few dollars to a cause you support in the next 7 days.|Donate a few dollars to a cause you support if payment is possible through a phone app.|Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.|Look for small opportunities to help others this week.,2,4,2,3,4,3,2,4,"One signature contributes meaningfully to petition goals.|Signing an online petition is easy to do.|Petitions can help issues gain attention.|Even a $1 donation contributes meaningfully to organization goals.|Donating a few dollars is easy to do.|Small donations can help fund change.|Meaningful change happens only through large, high-impact efforts.|Small, everyday actions have a meaningful impact.",,1,,"In the past 30 days, how many times did you donate $1 to $5 to a cause you support?|In the past 30 days, how many online petitions did you sign?|In the past 30 days, how many times did you donate more than $5 to a cause you support?",4,2,,I pay close attention to public issues on campus or in the news.|I am very civically engaged with my community.|I identify as an activist.,2027,,Man,Donations,Data|Donations|Friends|Petitions,0,0,,0,,Informed Consent,Instructions|Donations - Change
2025-11-17 10:14:41,2025-11-17 10:16:50,IP Address,100,129,TRUE,2025-11-17 10:16:51,R_3mjK6Er3an3uU1F,anonymous,EN,,5,5,4,2,3,2,4,Sign an online petition you agree with in the next month|Sign an online petition you agree with if reading it takes less than thirty seconds.|Sign an online petition you agree with if you must click a confirmation link sent to your email.|Donate a few dollars to a cause you support in the next 7 days.|Donate a few dollars to a cause you support if payment is possible through a phone app.|Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.|Look for small opportunities to help others this week.,3,5,3,2,3,3,3,4,"One signature contributes meaningfully to petition goals.|Signing an online petition is easy to do.|Petitions can help issues gain attention.|Even a $1 donation contributes meaningfully to organization goals.|Donating a few dollars is easy to do.|Small donations can help fund change.|Meaningful change happens only through large, high-impact efforts.|Small, everyday actions have a meaningful impact.",3,1,1,"In the past 30 days, how many times did you donate $1 to $5 to a cause you support?|In the past 30 days, how many online petitions did you sign?|In the past 30 days, how many times did you donate more than $5 to a cause you support?",5,2,2,I pay close attention to public issues on campus or in the news.|I identify as an activist.|I am very civically engaged with my community.,2027,,Man,Petitions,Data|Friends|Petitions|Donations,0,0,,0.125,QID8,Informed Consent,Instructions|Donations - Sustain
2025-11-17 10:59:26,2025-11-17 11:01:52,IP Address,100,145,TRUE,2025-11-17 11:01:52,R_6rRQFyBPxcgYZ57,anonymous,EN,,4,4,4,2,4,3,3,Sign an online petition you agree with in the next month|Sign an online petition you agree with if reading it takes less than thirty seconds.|Sign an online petition you agree with if you must click a confirmation link sent to your email.|Donate a few dollars to a cause you support in the next 7 days.|Donate a few dollars to a cause you support if payment is possible through a phone app.|Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.|Look for small opportunities to help others this week.,4,4,4,3,4,4,3,5,"One signature contributes meaningfully to petition goals.|Signing an online petition is easy to do.|Petitions can help issues gain attention.|Even a $1 donation contributes meaningfully to organization goals.|Donating a few dollars is easy to do.|Small donations can help fund change.|Meaningful change happens only through large, high-impact efforts.|Small, everyday actions have a meaningful impact.",0,1,0,"In the past 30 days, how many online petitions did you sign?|In the past 30 days, how many times did you donate $1 to $5 to a cause you support?|In the past 30 days, how many times did you donate more than $5 to a cause you support?",2,5,1,I am very civically engaged with my community.|I identify as an activist.|I pay close attention to public issues on campus or in the news.,2027,,Woman,Petitions,Friends|Petitions|Data|Donations,0,0,,0,,Informed Consent,Instructions|Petitions - Sustain
2025-11-17 14:14:13,2025-11-17 14:36:00,IP Address,100,1307,TRUE,2025-11-17 14:36:01,R_6IaABoFsoxO58kW,anonymous,EN,,2,3,2,2,,,5,Sign an online petition you agree with in the next month|Sign an online petition you agree with if reading it takes less than thirty seconds.|Sign an online petition you agree with if you must click a confirmation link sent to your email.|Donate a few dollars to a cause you support in the next 7 days.|Donate a few dollars to a cause you support if payment is possible through a phone app.|Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.|Look for small opportunities to help others this week.,2,4,2,2,4,5,2,5,"One signature contributes meaningfully to petition goals.|Signing an online petition is easy to do.|Petitions can help issues gain attention.|Even a $1 donation contributes meaningfully to organization goals.|Donating a few dollars is easy to do.|Small donations can help fund change.|Meaningful change happens only through large, high-impact efforts.|Small, everyday actions have a meaningful impact.",2,0,,"In the past 30 days, how many times did you donate $1 to $5 to a cause you support?|In the past 30 days, how many online petitions did you sign?|In the past 30 days, how many times did you donate more than $5 to a cause you support?",4,2,2,I identify as an activist.|I pay close attention to public issues on campus or in the news.|I am very civically engaged with my community.,2027,,Man,Petitions,Petitions|Data|Friends|Donations,0,0,,0.125,QID8,Informed Consent,Instructions|Petitions - Sustain
2025-11-18 20:38:57,2025-11-18 20:42:53,IP Address,100,235,TRUE,2025-11-18 20:42:55,R_7W5wlBeuUJIeCWZ,anonymous,EN,,2,2,,,,,5,Sign an online petition you agree with in the next month|Sign an online petition you agree with if reading it takes less than thirty seconds.|Sign an online petition you agree with if you must click a confirmation link sent to your email.|Donate a few dollars to a cause you support in the next 7 days.|Donate a few dollars to a cause you support if payment is possible through a phone app.|Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.|Look for small opportunities to help others this week.,3,4,4,4,2,4,4,5,"One signature contributes meaningfully to petition goals.|Signing an online petition is easy to do.|Petitions can help issues gain attention.|Even a $1 donation contributes meaningfully to organization goals.|Donating a few dollars is easy to do.|Small donations can help fund change.|Meaningful change happens only through large, high-impact efforts.|Small, everyday actions have a meaningful impact.",,,,"In the past 30 days, how many online petitions did you sign?|In the past 30 days, how many times did you donate $1 to $5 to a cause you support?|In the past 30 days, how many times did you donate more than $5 to a cause you support?",2,2,3,I am very civically engaged with my community.|I identify as an activist.|I pay close attention to public issues on campus or in the news.,Other,2027 on medical leave,Non-binary / Genderqueer/ Gender Non-conforming / Other,Donations,Donations|Friends|Petitions|Data,0,0,,0.125,QID20,Informed Consent,Instructions|Donations - Sustain
2025-11-18 20:47:01,2025-11-18 20:48:54,IP Address,100,112,TRUE,2025-11-18 20:48:55,R_7QyC7WMefyiY69B,anonymous,EN,,3,4,3,4,3,2,4,Sign an online petition you agree with in the next month|Sign an online petition you agree with if reading it takes less than thirty seconds.|Sign an online petition you agree with if you must click a confirmation link sent to your email.|Donate a few dollars to a cause you support in the next 7 days.|Donate a few dollars to a cause you support if payment is possible through a phone app.|Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.|Look for small opportunities to help others this week.,2,4,3,5,4,4,1,3,"One signature contributes meaningfully to petition goals.|Signing an online petition is easy to do.|Petitions can help issues gain attention.|Even a $1 donation contributes meaningfully to organization goals.|Donating a few dollars is easy to do.|Small donations can help fund change.|Meaningful change happens only through large, high-impact efforts.|Small, everyday actions have a meaningful impact.",1,1,1,"In the past 30 days, how many times did you donate $1 to $5 to a cause you support?|In the past 30 days, how many online petitions did you sign?|In the past 30 days, how many times did you donate more than $5 to a cause you support?",4,3,2,I identify as an activist.|I am very civically engaged with my community.|I pay close attention to public issues on campus or in the news.,2027,,Woman,Donations,Petitions|Donations|Friends|Data,0,0,,0.125,QID8,Informed Consent,Instructions|Donations - Change
2025-11-19 16:34:20,2025-11-19 16:36:54,IP Address,100,153,TRUE,2025-11-19 16:36:55,R_5p5VaZj7hS1qxPK,anonymous,EN,,3,4,4,5,5,3,3,Sign an online petition you agree with in the next month|Sign an online petition you agree with if reading it takes less than thirty seconds.|Sign an online petition you agree with if you must click a confirmation link sent to your email.|Donate a few dollars to a cause you support in the next 7 days.|Donate a few dollars to a cause you support if payment is possible through a phone app.|Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.|Look for small opportunities to help others this week.,5,5,3,5,5,5,1,5,"One signature contributes meaningfully to petition goals.|Signing an online petition is easy to do.|Petitions can help issues gain attention.|Even a $1 donation contributes meaningfully to organization goals.|Donating a few dollars is easy to do.|Small donations can help fund change.|Meaningful change happens only through large, high-impact efforts.|Small, everyday actions have a meaningful impact.",2,1,1,"In the past 30 days, how many online petitions did you sign?|In the past 30 days, how many times did you donate $1 to $5 to a cause you support?|In the past 30 days, how many times did you donate more than $5 to a cause you support?",3,1,2,I pay close attention to public issues on campus or in the news.|I am very civically engaged with my community.|I identify as an activist.,2027,,Man,Data,Donations|Friends|Petitions|Data,0,0,,0,,Informed Consent,Instructions|Donations - Sustain
2025-11-19 16:36:43,2025-11-19 16:38:56,IP Address,100,133,TRUE,2025-11-19 16:38:57,R_5AcAyWTjvZCnP21,anonymous,EN,,2,2,5,,,,5,Sign an online petition you agree with in the next month|Sign an online petition you agree with if reading it takes less than thirty seconds.|Sign an online petition you agree with if you must click a confirmation link sent to your email.|Donate a few dollars to a cause you support in the next 7 days.|Donate a few dollars to a cause you support if payment is possible through a phone app.|Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.|Look for small opportunities to help others this week.,4,3,4,5,3,5,1,5,"One signature contributes meaningfully to petition goals.|Signing an online petition is easy to do.|Petitions can help issues gain attention.|Even a $1 donation contributes meaningfully to organization goals.|Donating a few dollars is easy to do.|Small donations can help fund change.|Meaningful change happens only through large, high-impact efforts.|Small, everyday actions have a meaningful impact.",,,,"In the past 30 days, how many times did you donate $1 to $5 to a cause you support?|In the past 30 days, how many online petitions did you sign?|In the past 30 days, how many times did you donate more than $5 to a cause you support?",5,3,2,I am very civically engaged with my community.|I identify as an activist.|I pay close attention to public issues on campus or in the news.,2027,,Non-binary / Genderqueer/ Gender Non-conforming / Other,Petitions,Petitions|Donations|Data|Friends,0,0,,0.125,QID20,Informed Consent,Instructions|Petitions - Sustain
2025-11-20 12:55:11,2025-11-20 12:56:24,IP Address,100,73,TRUE,2025-11-20 12:56:25,R_5dyF6uvtnwAepeW,anonymous,EN,,4,4,,4,4,,5,Sign an online petition you agree with in the next month|Sign an online petition you agree with if reading it takes less than thirty seconds.|Sign an online petition you agree with if you must click a confirmation link sent to your email.|Donate a few dollars to a cause you support in the next 7 days.|Donate a few dollars to a cause you support if payment is possible through a phone app.|Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.|Look for small opportunities to help others this week.,3,4,4,,,,4,5,"One signature contributes meaningfully to petition goals.|Signing an online petition is easy to do.|Petitions can help issues gain attention.|Even a $1 donation contributes meaningfully to organization goals.|Donating a few dollars is easy to do.|Small donations can help fund change.|Meaningful change happens only through large, high-impact efforts.|Small, everyday actions have a meaningful impact.",1,,,"In the past 30 days, how many times did you donate $1 to $5 to a cause you support?|In the past 30 days, how many online petitions did you sign?|In the past 30 days, how many times did you donate more than $5 to a cause you support?",5,3,2,I am very civically engaged with my community.|I identify as an activist.|I pay close attention to public issues on campus or in the news.,2028,,Prefer not to say,Petitions,Data|Friends|Petitions|Donations,0,0,,0.125,QID8,Informed Consent,Instructions|Donations - Sustain
2025-11-20 12:54:27,2025-11-20 12:57:25,IP Address,100,177,TRUE,2025-11-20 12:57:26,R_6F9QKkfgYCD8xVL,anonymous,EN,,2,2,2,3,3,3,4,Sign an online petition you agree with in the next month|Sign an online petition you agree with if reading it takes less than thirty seconds.|Sign an online petition you agree with if you must click a confirmation link sent to your email.|Donate a few dollars to a cause you support in the next 7 days.|Donate a few dollars to a cause you support if payment is possible through a phone app.|Donate a few dollars to a cause you support if you need to open a phone payment app and complete a security screening.|Look for small opportunities to help others this week.,4,5,4,3,4,4,2,4,"One signature contributes meaningfully to petition goals.|Signing an online petition is easy to do.|Petitions can help issues gain attention.|Even a $1 donation contributes meaningfully to organization goals.|Donating a few dollars is easy to do.|Small donations can help fund change.|Meaningful change happens only through large, high-impact efforts.|Small, everyday actions have a meaningful impact.",,,,"In the past 30 days, how many times did you donate $1 to $5 to a cause you support?|In the past 30 days, how many online petitions did you sign?|In the past 30 days, how many times did you donate more than $5 to a cause you support?",2,3,,I pay close attention to public issues on campus or in the news.|I identify as an activist.|I am very civically engaged with my community.,Grad,,Woman,Donations,Friends|Data|Donations|Petitions,0,0,,0.25,"QID20,QID8",Informed Consent,Instructions|Donations - Sustain
